BR ID	SC ID	시나리오명	유형	규칙 문장	담당 주체	CAP ID	CAP 명칭	DEV ID	상태
SC-0.1	SC-0	상품 탐색	조회	검색어와 필터 조건으로 상품 목록을 조회한다	서버	CAP-01	상품 검색	DEV-A	확정
SC-0.2	SC-0	상품 탐색	계산	조회 결과를 관련도순으로 정렬한다	서버	CAP-01	상품 검색	DEV-A	확정
SC-0.3	SC-0	상품 탐색	예외처리	검색 결과가 없으면 대체 추천 목록을 반환한다	미지정	CAP-01	상품 검색	DEV-A	검토 필요
SC-1.1	SC-1	장바구니 담기	상태	선택한 상품을 장바구니에 담는다	클라이언트	CAP-02	장바구니	DEV-A	확정
SC-1.2	SC-1	장바구니 담기	판단/제약	장바구니 상품 수량은 재고 수량을 넘을 수 없다	서버	CAP-02	장바구니	DEV-A	확정
SC-1.3	SC-1	장바구니 담기	계산	장바구니 합계 금액과 예상 배송비를 계산한다	서버	CAP-02	장바구니	DEV-A	확정
SC-1.4	SC-1	장바구니 담기	상태	장바구니 항목의 수량을 바꾸거나 항목을 뺀다	클라이언트	CAP-02	장바구니	DEV-A	확정
SC-1.5	SC-1	장바구니 담기	예외처리	품절 상품이 담겨 있으면 표시하고 주문에서 제외한다	미지정				검토 필요
SC-2.1	SC-2	주문 접수	요청/명령	장바구니 내용으로 주문서를 만든다	서버	CAP-03	주문서 생성	DEV-A	확정
SC-2.2	SC-2	주문 접수	판단/제약	배송지가 배송 가능 지역인지 판단한다	서버	CAP-03	주문서 생성	DEV-A	확정
SC-2.3	SC-2	주문 접수	계산	쿠폰과 적립금을 적용해 최종 결제 금액을 계산한다	서버	CAP-03	주문서 생성	DEV-A	확정
SC-2.4	SC-2	주문 접수	상태	주문 상태를 접수 대기로 바꾼다	서버	CAP-03	주문서 생성	DEV-A	확정
SC-2.5	SC-2	주문 접수	예외처리	재고 확보에 실패하면 주문을 취소하고 사유를 남긴다	서버	CAP-04	주문 예외 처리	DEV-A	검토 필요
SC-2.6	SC-2	주문 접수	알림	주문 접수 결과를 사용자에게 알린다	미지정				초안
SC-3.1	SC-3	결제	요청/명령	결제 수단으로 승인을 요청한다	서버	CAP-05	결제 승인	DEV-B	확정
SC-3.2	SC-3	결제	판단/제약	결제 금액이 주문 금액과 같은지 검증한다	서버	CAP-05	결제 승인	DEV-B	확정
SC-3.3	SC-3	결제	반복/재시도	승인 실패 시 최대 N회까지 재시도한다	서버	CAP-05	결제 승인	DEV-B	검토 필요
SC-3.4	SC-3	결제	예외처리	최종 승인 실패면 주문을 결제 대기로 되돌린다	서버	CAP-05	결제 승인	DEV-B	확정
SC-3.5	SC-3	결제	상태	승인이 완료되면 주문 상태를 결제 완료로 바꾼다	서버	CAP-05	결제 승인	DEV-B	확정
SC-3.6	SC-3	결제	알림	결제 결과를 사용자에게 알린다	미지정				초안
SC-4.1	SC-4	배송	요청/명령	결제 완료 주문을 출고 대상으로 넘긴다	배치 작업	CAP-06	배송 추적	DEV-C	확정
SC-4.2	SC-4	배송	상태	운송장이 등록되면 주문 상태를 배송중으로 바꾼다	서버	CAP-06	배송 추적	DEV-C	확정
SC-4.3	SC-4	배송	조회	운송장 번호로 배송 진행 상태를 조회한다	서버	CAP-06	배송 추적	DEV-C	확정
SC-4.4	SC-4	배송	상태	수령이 확인되면 주문 상태를 배송 완료로 바꾼다	서버	CAP-06	배송 추적	DEV-C	확정
SC-5.1	SC-5	반품 · 환불	요청/명령	배송 완료 주문에 대해 반품을 접수한다	클라이언트	CAP-07	반품 · 환불	DEV-C	확정
SC-5.2	SC-5	반품 · 환불	판단/제약	반품 가능 기간이 지났는지 판단한다	서버	CAP-07	반품 · 환불	DEV-C	확정
SC-5.3	SC-5	반품 · 환불	계산	반품 사유에 따라 환불 금액과 배송비 부담을 계산한다	미지정	CAP-07	반품 · 환불	DEV-C	검토 필요
SC-5.4	SC-5	반품 · 환불	요청/명령	환불을 요청하고 결과를 주문에 반영한다	서버	CAP-07	반품 · 환불	DEV-C	확정
